厂商,收入_百万美元,数据来源
阿里云,1101.27,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 PaaS厂商"
腾讯云,539.10,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 PaaS厂商"
华为云,484.25,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 PaaS厂商"
AWS,424.24,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 PaaS厂商"
中国电信(天翼云),353.85,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 PaaS厂商"
中国移动(移动云),348.70,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 PaaS厂商"
百度智能云,252.31,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 PaaS厂商"
微软Azure,173.87,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 PaaS厂商"
中国联通(联通云),99.37,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 PaaS厂商"
