半年度,市场规模_百万美元,同比增速_pct,IaaS份额_pct,PaaS份额_pct,SaaS份额_pct,数据来源
2022H1,16581,28.8,60.15,15.79,24.06,"IDC《中国公有云服务市场跟踪研究,2025H1》"
2022H2,18789,20.5,57.17,16.67,26.16,"IDC《中国公有云服务市场跟踪研究,2025H1》"
2023H1,19462,17.4,57.99,17.01,25.00,"IDC《中国公有云服务市场跟踪研究,2025H1》"
2023H2,20740,10.4,55.67,17.55,26.78,"IDC《中国公有云服务市场跟踪研究,2025H1》"
2024H1,21295,9.4,55.76,18.33,25.91,"IDC《中国公有云服务市场跟踪研究,2025H1》"
2024H2,23802,14.8,55.51,18.45,26.04,"IDC《中国公有云服务市场跟踪研究,2025H1》"
2025H1,25011,17.5,56.01,18.95,25.05,"IDC《中国公有云服务市场跟踪研究,2025H1》"
